name,neighborhood,address
SAUTE,Canton,"2844 HUDSON ST
Baltimore, MD"
#1 CHINESE KITCHEN,Hampden,"3998 ROLAND AVE
Baltimore, MD"
#1 chinese restaurant,Millhill,"2481 frederick ave
Baltimore, MD"
19TH HOLE,Clifton Park,"2722 HARFORD RD
Baltimore, MD"
3 KINGS,McElderry Park,"2510 MCELDERRY ST
Baltimore, MD"
"3 MILES HOUSE, INC.",Remington,"2701 MILES AVE
Baltimore, MD"
3 W'S TAVERN,McElderry Park,"2518 MONUMENT ST
Baltimore, MD"
300 SOUTH ANN STREET,Upper Fells Point,"300 ANN ST
Baltimore, MD"
438 CLUB,Curtis Bay,"1600 HAZEL ST
Baltimore, MD"
5-MILE HOUSE,Woodmere,"5302 REISTERSTOWN RD
Baltimore, MD"
"743 S. MONTFORD,INC.",Canton,"743 MONTFORD ST
Baltimore, MD"
A & W RESTAURANT,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD"
A TASTE OF CHINA,Downtown,"219 BALTIMORE ST
Baltimore, MD"
ABACROMBIE FINE FOODS,Mid-Town Belvedere,"58 BIDDLE STREET
Baltimore, MD"
ABC SUSHI,Middle East,"2003 MONUMENT ST
Baltimore, MD"
ACROPOLIS RESTAURANT,Greektown,"4718 EASTERN AVE
Baltimore, MD"
ADMIRAL FELL INN,Fells Point,"818 BROADWAY
Baltimore, MD"
AG & HARP'S,Morrell Park,"2522 WASHINGTON BLVD
Baltimore, MD"
"AIRPORT BAR & GRILL, INC.",Saint Helena,"6500 RIVERVIEW AVE
Baltimore, MD"
AKBAR RESTAURANT,Mount Vernon,"823 CHARLES ST
Baltimore, MD"
"AKDEY SUBWAY, INC.",Millhill,"2407 FREDERICK AVE
Baltimore, MD"
ALDO'S   RESTAURANT,Little Italy,"306 HIGH ST
Baltimore, MD"
ALE MARY'S,Fells Point,"1939 FLEET ST
Baltimore, MD"
ALEXANDER'S TAVERN,Fells Point,"710 BROADWAY
Baltimore, MD"
ALFEO'S,Mondawmin,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD"
AL-HO CLUB,Booth-Boyd,"2105 FREDERICK AVE
Baltimore, MD"
BAY ATLANTIC CLUB,Downtown,"206 REDWOOD ST
Baltimore, MD"
